Date,Ingredient,UOM,Usage_Today,Wastage_Today,Closing_OnHand,On_Order_Qty,Reorder_Point,Reorder_Flag,Earliest_Expiry_Date,Qty_Expiring_Within_Warn,Expiry_Warn_Days,Expiry_Flag,Suggested_Action
2026-02-03,WhiteSauce_g,g,400,0,836.71,0,797.81,,2026-04-30,0,1,,
2026-02-03,Wine_ml,ml,1740,0,74571.78,0,34449.86,,2027-03-07,0,30,,
2026-02-04,Anchovy_g,g,25,0,965.41,0,380.14,,2026-08-29,0,14,,
2026-02-04,Beef_g,g,2180,0,9966.71,0,4770.68,,2026-04-30,0,1,,
2026-02-04,Beer_ml,ml,16780,0,703610.68,0,323929.18,,2027-03-10,0,30,,
2026-02-04,Bread_g,g,630,0,370,1500,7163.01,Y,2026-04-30,0,3,,REORDER
2026-02-04,Butter_g,g,310,0,1547.67,0,1195.07,,2026-05-05,0,5,,
2026-02-04,Chicken_g,g,9066,0,6374.11,0,13473.64,Y,2026-05-02,0,1,,REORDER
2026-02-04,Chocolate_g,g,820,0,10671.58,0,4332.19,,2026-08-25,0,14,,
2026-02-04,CookingOil_g,g,1365,0,31198.84,0,11997.95,,2026-06-29,0,14,,
2026-02-04,Cream_ml,ml,1920,0,1793.42,4000,4007.67,,,0,2,,
2026-02-04,Egg_count,count,26,0,43.99,72,78.85,,2026-05-10,0,5,,
2026-02-04,Flour_g,g,7340,0,196007.33,0,75954.11,,2026-06-02,0,14,,
2026-02-04,Garlic_g,g,108,0,598.08,0,218.99,,2026-05-03,0,1,,
2026-02-04,Lime_g,g,275,0,767.26,0,691.51,,2026-05-01,0,1,,
2026-02-04,Milk_ml,ml,4980,0,11749.32,0,16142.47,Y,2026-05-02,0,2,,REORDER
2026-02-04,Mint_g,g,15,0,494.11,0,42.74,,2026-05-03,0,1,,
2026-02-04,Mozzarella_g,g,3912,0,11368.44,13500,16356.82,,,0,2,,
2026-02-04,Mushroom_g,g,140,0,2061.92,0,728.77,,2026-05-01,0,1,,
2026-02-04,OliveOil_g,g,355.8,0,9776.85,0,3774.08,,2026-06-29,0,14,,
2026-02-04,Onion_g,g,502,0,515.84,0,955.53,Y,2026-05-03,0,1,,REORDER
2026-02-04,Parmesan_g,g,20,0,341.92,0,248.77,,2026-04-30,0,5,,
2026-02-04,Pesto_g,g,325,0,1091.4,0,480.96,,2026-05-02,0,1,,
2026-02-04,Pita_g,g,360,0,3614.79,0,2012.05,,2026-05-10,0,7,,
2026-02-04,Pork_g,g,820,0,12258.63,0,6933.7,,2026-05-20,0,7,,
2026-02-04,Potato_g,g,5300,0,61154.11,0,37158.9,,2026-05-20,0,7,,
2026-02-04,Salmon_g,g,1260,0,10366.03,0,6139.73,,2026-05-19,0,7,,
2026-02-04,SauceOther_g,g,3217,0,12374.36,0,6047.34,,2026-05-05,0,1,,
2026-02-04,Seafood_g,g,1868,0,2970.47,0,2937.64,,2026-04-30,0,1,,
2026-02-04,Soda_ml,ml,11820,0,419062.6,0,160257.53,,2026-05-30,0,14,,
2026-02-04,Soju_ml,ml,3960,0,155362.19,0,70461.37,,2027-03-09,0,30,,
2026-02-04,Spirits_ml,ml,975,0,52504.52,0,24201.58,,2027-03-07,0,30,,
2026-02-04,Sugar_g,g,720,0,14379.04,0,5663.01,,2027-02-28,0,14,,
2026-02-04,TomatoSauce_g,g,2754,0,3122.41,0,5236.27,Y,2026-05-01,0,1,,REORDER
2026-02-04,VegMix_g,g,2932,0,14141.64,0,6644.66,,2026-04-30,0,1,,
2026-02-04,WhiteSauce_g,g,160,676.71,0,0,797.81,Y,2026-04-30,0,1,,REORDER; SPOILAGE_WRITE_OFF
2026-02-04,Wine_ml,ml,870,0,73701.78,0,34449.86,,2027-03-07,0,30,,
2026-02-05,Anchovy_g,g,0,0,965.41,0,380.14,,2026-08-29,0,14,,
2026-02-05,Beef_g,g,2570,0,7396.71,0,4770.68,,2026-04-30,0,1,,
2026-02-05,Beer_ml,ml,16110,0,687500.68,0,323929.18,,2027-03-10,0,30,,
2026-02-05,Bread_g,g,450,0,420,1500,7163.01,Y,2026-04-30,0,3,,REORDER
2026-02-05,Butter_g,g,260,0,1287.67,0,1195.07,,2026-05-05,0,5,,
2026-02-05,Chicken_g,g,6536,0,27338.11,0,13473.64,,2026-05-02,0,1,,
2026-02-05,Chocolate_g,g,340,0,10331.58,0,4332.19,,2026-08-25,0,14,,
2026-02-05,CookingOil_g,g,1170,0,30028.84,0,11997.95,,2026-06-29,0,14,,
2026-02-05,Cream_ml,ml,840,0,4953.42,0,4007.67,,,0,2,,
2026-02-05,Egg_count,count,16,0,99.99,0,78.85,,2026-05-10,0,5,,
2026-02-05,Flour_g,g,9030,0,186977.33,0,75954.11,,2026-06-02,0,14,,
2026-02-05,Garlic_g,g,123.2,0,474.88,0,218.99,,2026-05-03,0,1,,
2026-02-05,Lime_g,g,340,0,427.26,0,691.51,Y,2026-05-01,0,1,,REORDER
2026-02-05,Milk_ml,ml,3960,0,7789.32,17000,16142.47,,2026-05-02,0,2,,
2026-02-05,Mint_g,g,15,0,479.11,0,42.74,,2026-05-03,0,1,,
2026-02-05,Mozzarella_g,g,4992,0,19876.44,0,16356.82,,,0,2,,
2026-02-05,Mushroom_g,g,280,0,1781.92,0,728.77,,2026-05-01,0,1,,
2026-02-05,OliveOil_g,g,407.8,0,9369.05,0,3774.08,,2026-06-29,0,14,,
2026-02-05,Onion_g,g,453,0,2062.84,0,955.53,,2026-05-03,0,1,,
2026-02-05,Parmesan_g,g,140,0,201.92,0,248.77,Y,2026-04-30,0,5,,REORDER
2026-02-05,Pesto_g,g,259,0,832.4,0,480.96,,2026-05-02,0,1,,
2026-02-05,Pita_g,g,360,0,3254.79,0,2012.05,,2026-05-10,0,7,,
2026-02-05,Pork_g,g,1820,0,10438.63,0,6933.7,,2026-05-20,0,7,,
2026-02-05,Potato_g,g,6550,0,54604.11,0,37158.9,,2026-05-20,0,7,,
2026-02-05,Salmon_g,g,1080,0,9286.03,0,6139.73,,2026-05-19,0,7,,
2026-02-05,SauceOther_g,g,3043,0,9331.36,0,6047.34,,2026-05-05,0,1,,
2026-02-05,Seafood_g,g,1756,0,1214.47,0,2937.64,Y,2026-04-30,0,1,,REORDER
2026-02-05,Soda_ml,ml,15750,0,403312.6,0,160257.53,,2026-05-30,0,14,,
2026-02-05,Soju_ml,ml,2520,0,152842.19,0,70461.37,,2027-03-09,0,30,,
2026-02-05,Spirits_ml,ml,1335,0,51169.52,0,24201.58,,2027-03-07,0,30,,
2026-02-05,Sugar_g,g,470,0,13909.04,0,5663.01,,2027-02-28,0,14,,
2026-02-05,TomatoSauce_g,g,3114,0,5008.41,0,5236.27,Y,2026-05-01,0,1,,REORDER
2026-02-05,VegMix_g,g,3254,0,10887.64,0,6644.66,,2026-04-30,0,1,,
2026-02-05,WhiteSauce_g,g,560,0,940,0,797.81,,2026-04-30,0,1,,
2026-02-05,Wine_ml,ml,1860,0,71841.78,0,34449.86,,2027-03-07,0,30,,
2026-02-06,Anchovy_g,g,25,0,940.41,0,380.14,,2026-08-29,0,14,,
2026-02-06,Beef_g,g,1460,0,5936.71,0,4770.68,,2026-04-30,0,1,,
2026-02-06,Beer_ml,ml,17750,0,669750.68,0,323929.18,,2027-03-10,0,30,,
2026-02-06,Bread_g,g,540,0,880,1000,7163.01,Y,2026-04-30,0,3,,REORDER
2026-02-06,Butter_g,g,310,0,977.67,0,1195.07,Y,2026-05-05,0,5,,REORDER
2026-02-06,Chicken_g,g,9762,0,17576.11,0,13473.64,,2026-05-02,0,1,,
2026-02-06,Chocolate_g,g,485,0,9846.58,0,4332.19,,2026-08-25,0,14,,
2026-02-06,CookingOil_g,g,1620,0,28408.84,0,11997.95,,2026-06-29,0,14,,
2026-02-06,Cream_ml,ml,1320,0,3633.42,0,4007.67,Y,,0,2,,REORDER
2026-02-06,Egg_count,count,25,0,74.99,0,78.85,Y,2026-05-10,0,5,,REORDER
2026-02-06,Flour_g,g,7505,0,179472.33,0,75954.11,,2026-06-02,0,14,,
2026-02-06,Garlic_g,g,107,0,367.88,0,218.99,,2026-05-03,0,1,,
2026-02-06,Lime_g,g,435,0,992.26,0,691.51,,2026-05-01,0,1,,
2026-02-06,Milk_ml,ml,4140,3649.32,17000,0,16142.47,,2026-05-02,0,2,,SPOILAGE_WRITE_OFF
2026-02-06,Mint_g,g,30,0,449.11,0,42.74,,2026-05-03,0,1,,
2026-02-06,Mozzarella_g,g,3936,0,15940.44,0,16356.82,Y,,0,2,,REORDER
2026-02-06,Mushroom_g,g,1120,0,661.92,0,728.77,Y,2026-05-01,0,1,,REORDER
2026-02-06,OliveOil_g,g,382.4,0,8986.65,0,3774.08,,2026-06-29,0,14,,
2026-02-06,Onion_g,g,335,0,1727.84,0,955.53,,2026-05-03,0,1,,
2026-02-06,Parmesan_g,g,40,0,161.92,500,248.77,,2026-04-30,0,5,,
2026-02-06,Pesto_g,g,252,0,580.4,0,480.96,,2026-05-02,0,1,,
2026-02-06,Pita_g,g,120,0,3134.79,0,2012.05,,2026-05-10,0,7,,
2026-02-06,Pork_g,g,800,0,9638.63,0,6933.7,,2026-05-20,0,7,,
2026-02-06,Potato_g,g,7150,0,47454.11,0,37158.9,,2026-05-20,0,7,,
2026-02-06,Salmon_g,g,2160,0,7126.03,0,6139.73,,2026-05-19,0,7,,
2026-02-06,SauceOther_g,g,2711,0,6620.36,0,6047.34,,2026-05-05,0,1,,
2026-02-06,Seafood_g,g,1808,0,2906.47,0,2937.64,Y,2026-04-30,0,1,,REORDER
2026-02-06,Soda_ml,ml,20460,0,382852.6,0,160257.53,,2026-05-30,0,14,,
2026-02-06,Soju_ml,ml,5400,0,147442.19,0,70461.37,,2027-03-09,0,30,,
2026-02-06,Spirits_ml,ml,1605,0,49564.52,0,24201.58,,2027-03-07,0,30,,
2026-02-06,Sugar_g,g,690,0,13219.04,0,5663.01,,2027-02-28,0,14,,
2026-02-06,TomatoSauce_g,g,2052,0,5956.41,0,5236.27,,2026-05-01,0,1,,
2026-02-06,VegMix_g,g,3828,0,7059.64,0,6644.66,,2026-04-30,0,1,,
2026-02-06,WhiteSauce_g,g,800,0,140,0,797.81,Y,2026-04-30,0,1,,REORDER
2026-02-06,Wine_ml,ml,930,0,70911.78,0,34449.86,,2027-03-07,0,30,,
2026-02-07,Anchovy_g,g,25,0,915.41,0,380.14,,2026-08-29,0,14,,
2026-02-07,Beef_g,g,1880,0,4056.71,0,4770.68,Y,2026-04-30,0,1,,REORDER
2026-02-07,Beer_ml,ml,19100,0,650650.68,0,323929.18,,2027-03-10,0,30,,
2026-02-07,Bread_g,g,1350,0,30,1000,7163.01,Y,2026-04-30,0,3,,REORDER
2026-02-07,Butter_g,g,170,0,807.67,2500,1195.07,,2026-05-05,0,5,,
2026-02-07,Chicken_g,g,5682,0,11894.11,0,13473.64,Y,2026-05-02,0,1,,REORDER
2026-02-07,Chocolate_g,g,710,0,9136.58,0,4332.19,,2026-08-25,0,14,,
2026-02-07,CookingOil_g,g,1045,0,27363.84,0,11997.95,,2026-06-29,0,14,,
2026-02-07,Cream_ml,ml,1680,0,1953.42,4000,4007.67,,,0,2,,
2026-02-07,Egg_count,count,19,0,55.99,72,78.85,,2026-05-10,0,5,,
2026-02-07,Flour_g,g,6520,0,172952.33,0,75954.11,,2026-06-02,0,14,,
2026-02-07,Garlic_g,g,107.8,0,260.08,0,218.99,,2026-05-03,0,1,,
2026-02-07,Lime_g,g,390,0,602.26,0,691.51,Y,2026-05-01,0,1,,REORDER
2026-02-07,Milk_ml,ml,3840,0,13160,0,16142.47,Y,2026-05-02,0,2,,REORDER
2026-02-07,Mint_g,g,50,399.11,0,0,42.74,Y,2026-05-03,0,1,,REORDER; SPOILAGE_WRITE_OFF
2026-02-07,Mozzarella_g,g,3480,0,12460.44,13000,16356.82,,,0,2,,
2026-02-07,Mushroom_g,g,420,0,1741.92,0,728.77,,2026-05-01,0,1,,
2026-02-07,OliveOil_g,g,387,0,8599.65,0,3774.08,,2026-06-29,0,14,,
2026-02-07,Onion_g,g,492,0,1235.84,0,955.53,,2026-05-03,0,1,,
2026-02-07,Parmesan_g,g,20,0,641.92,0,248.77,,2026-04-30,0,5,,
2026-02-07,Pesto_g,g,197,0,383.4,0,480.96,Y,2026-05-02,0,1,,REORDER
2026-02-07,Pita_g,g,360,0,2774.79,0,2012.05,,2026-05-10,0,7,,
2026-02-07,Pork_g,g,820,0,8818.63,0,6933.7,,2026-05-20,0,7,,
2026-02-07,Potato_g,g,5150,0,42304.11,0,37158.9,,2026-05-20,0,7,,
2026-02-07,Salmon_g,g,180,0,6946.03,0,6139.73,,2026-05-19,0,7,,
2026-02-07,SauceOther_g,g,2715,0,3905.36,0,6047.34,Y,2026-05-05,0,1,,REORDER
2026-02-07,Seafood_g,g,1392,0,3014.47,0,2937.64,,2026-04-30,0,1,,
2026-02-07,Soda_ml,ml,17910,0,364942.6,0,160257.53,,2026-05-30,0,14,,
2026-02-07,Soju_ml,ml,5400,0,142042.19,0,70461.37,,2027-03-09,0,30,,
2026-02-07,Spirits_ml,ml,1125,0,48439.52,0,24201.58,,2027-03-07,0,30,,
2026-02-07,Sugar_g,g,580,0,12639.04,0,5663.01,,2027-02-28,0,14,,
2026-02-07,TomatoSauce_g,g,1890,0,4066.41,0,5236.27,Y,2026-05-01,0,1,,REORDER
2026-02-07,VegMix_g,g,3214,0,3845.64,0,6644.66,Y,2026-04-30,0,1,,REORDER
2026-02-07,WhiteSauce_g,g,640,0,1000,0,797.81,,2026-04-30,0,1,,
2026-02-07,Wine_ml,ml,1740,0,69171.78,0,34449.86,,2027-03-07,0,30,,
2026-02-08,Anchovy_g,g,50,0,865.41,0,380.14,,2026-08-29,0,14,,
2026-02-08,Beef_g,g,3070,986.71,8000,0,4770.68,,2026-04-30,0,1,,SPOILAGE_WRITE_OFF
2026-02-08,Beer_ml,ml,26910,0,623740.68,0,323929.18,,2027-03-10,0,30,,
2026-02-08,Bread_g,g,450,0,80,2000,7163.01,Y,2026-04-30,0,3,,REORDER
2026-02-08,Butter_g,g,310,0,2997.67,0,1195.07,,2026-05-05,0,5,,
2026-02-08,Chicken_g,g,6454,0,27440.11,0,13473.64,,2026-05-02,0,1,,
2026-02-08,Chocolate_g,g,405,0,8731.58,0,4332.19,,2026-08-25,0,14,,
2026-02-08,CookingOil_g,g,1185,0,26178.84,0,11997.95,,2026-06-29,0,14,,
2026-02-08,Cream_ml,ml,1200,0,4753.42,0,4007.67,,,0,2,,
2026-02-08,Egg_count,count,22,0,105.99,0,78.85,,2026-05-10,0,5,,
2026-02-08,Flour_g,g,8875,0,164077.33,0,75954.11,,2026-06-02,0,14,,
2026-02-08,Garlic_g,g,107.8,0,152.28,0,218.99,Y,2026-05-03,0,1,,REORDER
2026-02-08,Lime_g,g,350,0,752.26,0,691.51,,2026-05-01,0,1,,
2026-02-08,Milk_ml,ml,5820,0,7340,16000,16142.47,,2026-05-02,0,2,,
2026-02-08,Mint_g,g,25,0,475,0,42.74,,2026-05-03,0,1,,
2026-02-08,Mozzarella_g,g,4896,0,20564.44,0,16356.82,,,0,2,,
2026-02-08,Mushroom_g,g,140,0,1601.92,0,728.77,,2026-05-01,0,1,,
2026-02-08,OliveOil_g,g,381.4,0,8218.25,0,3774.08,,2026-06-29,0,14,,
2026-02-08,Onion_g,g,437,0,798.84,0,955.53,Y,2026-05-03,0,1,,REORDER
2026-02-08,Parmesan_g,g,160,0,481.92,0,248.77,,2026-04-30,0,5,,
2026-02-08,Pesto_g,g,236,0,1147.4,0,480.96,,2026-05-02,0,1,,
2026-02-08,Pita_g,g,600,0,2174.79,0,2012.05,,2026-05-10,0,7,,
2026-02-08,Pork_g,g,1940,0,6878.63,0,6933.7,Y,2026-05-20,0,7,,REORDER
2026-02-08,Potato_g,g,7700,0,34604.11,0,37158.9,Y,2026-05-20,0,7,,REORDER
2026-02-08,Salmon_g,g,180,0,6766.03,0,6139.73,,2026-05-19,0,7,,
2026-02-08,SauceOther_g,g,3804,0,11601.36,0,6047.34,,2026-05-05,0,1,,
2026-02-08,Seafood_g,g,880,634.47,1500,0,2937.64,Y,2026-04-30,0,1,,REORDER; SPOILAGE_WRITE_OFF
2026-02-08,Soda_ml,ml,18060,0,346882.6,0,160257.53,,2026-05-30,0,14,,
2026-02-08,Soju_ml,ml,3600,0,138442.19,0,70461.37,,2027-03-09,0,30,,
2026-02-08,Spirits_ml,ml,1350,0,47089.52,0,24201.58,,2027-03-07,0,30,,
2026-02-08,Sugar_g,g,530,0,12109.04,0,5663.01,,2027-02-28,0,14,,
2026-02-08,TomatoSauce_g,g,3132,0,4934.41,0,5236.27,Y,2026-05-01,0,1,,REORDER
2026-02-08,VegMix_g,g,4596,0,12249.64,0,6644.66,,2026-04-30,0,1,,
2026-02-08,WhiteSauce_g,g,480,0,520,0,797.81,Y,2026-04-30,0,1,,REORDER
2026-02-08,Wine_ml,ml,2550,0,66621.78,0,34449.86,,2027-03-07,0,30,,
2026-02-09,Anchovy_g,g,25,0,840.41,0,380.14,,2026-08-29,0,14,,
2026-02-09,Beef_g,g,2470,0,5530,0,4770.68,,2026-04-30,0,1,,
2026-02-09,Beer_ml,ml,19940,0,603800.68,0,323929.18,,2027-03-10,0,30,,
2026-02-09,Bread_g,g,720,0,2360,2000,7163.01,Y,2026-04-30,0,3,,REORDER
2026-02-09,Butter_g,g,250,0,2747.67,0,1195.07,,2026-05-05,0,5,,
2026-02-09,Chicken_g,g,6306,0,21134.11,0,13473.64,,2026-05-02,0,1,,
2026-02-09,Chocolate_g,g,240,0,8491.58,0,4332.19,,2026-08-25,0,14,,
2026-02-09,CookingOil_g,g,1005,0,25173.84,0,11997.95,,2026-06-29,0,14,,
2026-02-09,Cream_ml,ml,660,0,4093.42,0,4007.67,,,0,2,,
