        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2456000, cogs: 1194481, gross_profit: 1261519, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 29472, bank_charges: 0, total_opex: 714829, operating_profit: 546690 },
        { date: '2026-02-12', day_of_week: 'Thursday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 0, bank_charges: 0, total_opex: 685357, operating_profit: -685357 },
        { date: '2026-02-13', day_of_week: 'Friday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 0, bank_charges: 0, total_opex: 685357, operating_profit: -685357 },
        { date: '2026-02-14', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2878600, cogs: 1463319, gross_profit: 1415281, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 34543, bank_charges: 0, total_opex: 719900, operating_profit: 695381 },
        { date: '2026-02-15', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2242900, cogs: 1122197, gross_profit: 1120703, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 26915, bank_charges: 0, total_opex: 712272, operating_profit: 408431 },
        { date: '2026-02-16', day_of_week: 'Monday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 0, bank_charges: 10000, total_opex: 695357, operating_profit: -695357 },
        { date: '2026-02-17', day_of_week: 'Tuesday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 0, bank_charges: 0, total_opex: 685357, operating_profit: -685357 },
        { date: '2026-02-18', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2067500, cogs: 994640, gross_profit: 1072860, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 24810, bank_charges: 0, total_opex: 710167, operating_profit: 362693 },
        { date: '2026-02-19', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1959900, cogs: 1008075, gross_profit: 951825, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 23519, bank_charges: 0, total_opex: 708876, operating_profit: 242949 },
        { date: '2026-02-20', day_of_week: 'Friday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2295400, cogs: 1185282, gross_profit: 1110118, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 27545, bank_charges: 0, total_opex: 712902, operating_profit: 397216 },
        { date: '2026-02-21', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2324700, cogs: 1114537, gross_profit: 1210163, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 27896, bank_charges: 0, total_opex: 713254, operating_profit: 496909 },
        { date: '2026-02-22', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2428200, cogs: 1126727, gross_profit: 1301473, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 29138, bank_charges: 0, total_opex: 714496, operating_profit: 586977 },
        { date: '2026-02-23', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1963500, cogs: 907014, gross_profit: 1056486, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 23562, bank_charges: 10000, total_opex: 718919, operating_profit: 337567 },
        { date: '2026-02-24', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1993100, cogs: 927107, gross_profit: 1065993, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 23917, bank_charges: 0, total_opex: 709274, operating_profit: 356719 },
        { date: '2026-02-25', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1785800, cogs: 898186, gross_profit: 887614, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 21430, bank_charges: 0, total_opex: 706787, operating_profit: 180827 },
        { date: '2026-02-26', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2141900, cogs: 988212, gross_profit: 1153688, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 25703, bank_charges: 0, total_opex: 711060, operating_profit: 442628 },
        { date: '2026-02-27', day_of_week: 'Friday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2847800, cogs: 1402649, gross_profit: 1445151, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 34174, bank_charges: 0, total_opex: 719531, operating_profit: 725620 },
        { date: '2026-02-28', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2257800, cogs: 1061334, gross_profit: 1196466, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 27094, bank_charges: 0, total_opex: 712451, operating_profit: 484015 },
        { date: '2026-03-01', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2279200, cogs: 1102738, gross_profit: 1176462, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 27350, bank_charges: 0, total_opex: 646383, operating_profit: 530079 },
        { date: '2026-03-02', day_of_week: 'Monday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 0, bank_charges: 10000, total_opex: 629032, operating_profit: -629032 },
        { date: '2026-03-03', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2096500, cogs: 997608, gross_profit: 1098892, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 25158, bank_charges: 0, total_opex: 644190, operating_profit: 454702 },
        { date: '2026-03-04', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2056500, cogs: 971081, gross_profit: 1085419, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 24678, bank_charges: 0, total_opex: 643710, operating_profit: 441709 },
        { date: '2026-03-05', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1814200, cogs: 844298, gross_profit: 969902, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 21770, bank_charges: 0, total_opex: 640803, operating_profit: 329099 },
        { date: '2026-03-06', day_of_week: 'Friday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2218400, cogs: 1034229, gross_profit: 1184171, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 26621, bank_charges: 0, total_opex: 645653, operating_profit: 538518 },
        { date: '2026-03-07', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2465400, cogs: 1239147, gross_profit: 1226253, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 29585, bank_charges: 0, total_opex: 648617, operating_profit: 577636 },
        { date: '2026-03-08', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2213000, cogs: 1041729, gross_profit: 1171271, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 26556, bank_charges: 0, total_opex: 645588, operating_profit: 525683 },
        { date: '2026-03-09', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2250400, cogs: 1027545, gross_profit: 1222855, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 27005, bank_charges: 10000, total_opex: 656037, operating_profit: 566818 },
        { date: '2026-03-10', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2503700, cogs: 1211296, gross_profit: 1292404, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 30044, bank_charges: 0, total_opex: 649077, operating_profit: 643327 },
        { date: '2026-03-11', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1966900, cogs: 921484, gross_profit: 1045416, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 23603, bank_charges: 0, total_opex: 642635, operating_profit: 402781 },
        { date: '2026-03-12', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2268000, cogs: 1060651, gross_profit: 1207349, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 27216, bank_charges: 0, total_opex: 646248, operating_profit: 561101 },
        { date: '2026-03-13', day_of_week: 'Friday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2327100, cogs: 1127588, gross_profit: 1199512, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 27925, bank_charges: 0, total_opex: 646957, operating_profit: 552555 },
        { date: '2026-03-14', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2333000, cogs: 1110746, gross_profit: 1222254, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 27996, bank_charges: 0, total_opex: 647028, operating_profit: 575226 },
        { date: '2026-03-15', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2181500, cogs: 1065415, gross_profit: 1116085, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 26178, bank_charges: 0, total_opex: 645210, operating_profit: 470875 },
        { date: '2026-03-16', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2247800, cogs: 1078896, gross_profit: 1168904, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 26974, bank_charges: 10000, total_opex: 656006, operating_profit: 512898 },
        { date: '2026-03-17', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1875900, cogs: 885165, gross_profit: 990735, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 22511, bank_charges: 0, total_opex: 641543, operating_profit: 349192 },
        { date: '2026-03-18', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2031400, cogs: 938365, gross_profit: 1093035, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 24377, bank_charges: 0, total_opex: 643409, operating_profit: 449626 },
        { date: '2026-03-19', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1932300, cogs: 938913, gross_profit: 993387, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 23188, bank_charges: 0, total_opex: 642220, operating_profit: 351167 },
        { date: '2026-03-20', day_of_week: 'Friday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2326500, cogs: 1144376, gross_profit: 1182124, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 27918, bank_charges: 0, total_opex: 646950, operating_profit: 535174 },
        { date: '2026-03-21', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2118600, cogs: 972592, gross_profit: 1146008, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 25423, bank_charges: 0, total_opex: 644455, operating_profit: 501553 },
        { date: '2026-03-22', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2375200, cogs: 1097741, gross_profit: 1277459, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 28502, bank_charges: 0, total_opex: 647535, operating_profit: 629924 },
        { date: '2026-03-23', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1989900, cogs: 979978, gross_profit: 1009922, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 23879, bank_charges: 10000, total_opex: 652911, operating_profit: 357011 },
        { date: '2026-03-24', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2022000, cogs: 981494, gross_profit: 1040506, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 24264, bank_charges: 0, total_opex: 643296, operating_profit: 397210 },
        { date: '2026-03-25', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2106500, cogs: 1003197, gross_profit: 1103303, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 25278, bank_charges: 0, total_opex: 644310, operating_profit: 458993 },
        { date: '2026-03-26', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2160300, cogs: 1040770, gross_profit: 1119530, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 25924, bank_charges: 0, total_opex: 644956, operating_profit: 474574 },
        { date: '2026-03-27', day_of_week: 'Friday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 0, bank_charges: 0, total_opex: 619032, operating_profit: -619032 },
        { date: '2026-03-28', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2658700, cogs: 1250552, gross_profit: 1408148, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 31904, bank_charges: 0, total_opex: 650937, operating_profit: 757211 },
        { date: '2026-03-29', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2472500, cogs: 1148138, gross_profit: 1324362, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 29670, bank_charges: 0, total_opex: 648702, operating_profit: 675660 },
